LGA,home_target,coverage_per_sqm,lost_coverage,initial_coverage,final_coverage,percentage_point_change,percentage_change
Maribyrnong,17500,22,1.0699999999999998,199.8,210.5,10.699999999999989,5.4
Glen Eira,23210,22.7,1.46,286.7,301.3,14.600000000000023,5.1
Stonnington,18210,26.1,1.3199999999999998,292.7,305.9,13.199999999999989,4.5
Port Phillip,20000,17.2,0.96,217.6,227.2,9.599999999999994,4.4
Moonee Valley,20360,18.7,1.06,294.7,305.3,10.600000000000023,3.6
Melbourne,47860,11.4,1.52,423.7,438.8,15.100000000000023,3.6
Merri-bek,25710,16.2,1.16,398.2,409.7,11.5,2.9
Yarra,17140,18.7,0.89,314.6,323.5,8.899999999999977,2.8
Whitehorse,28210,28.9,2.27,871.8,894.5,22.700000000000045,2.6
Boroondara,23930,30,2,844.1,864.1,20,2.4
Bayside,11070,31.8,0.9800000000000001,462.1,471.9,9.799999999999955,2.1
Darebin,25710,15.9,1.1400000000000001,599.5,610.9,11.399999999999977,1.9
Monash,25710,22.5,1.6,900.7,916.8,16.09999999999991,1.8
Kingston,21070,27.200000000000003,1.59,924.7,940.6,15.899999999999977,1.7
Maroondah,15710,35.699999999999996,1.56,956.3,971.9,15.600000000000023,1.6
Hobsons Bay,11070,18.9,0.58,365.9,371.7,5.800000000000011,1.6
Banyule,16790,27.3,1.27,911.4,924.1,12.700000000000045,1.4
Brimbank,25710,6.6000000000000005,0.47000000000000003,586.4,591.1,4.7000000000000455,0.8
Manningham,13930,35.6,1.3800000000000001,2485.5,2499.3,13.800000000000182,0.6
