sa1,total_uhi_cov,uhi,sa2,ttl_cov,ttl_cov_a,ttl_area,CHG_FLAG21,SA2_CODE21,AREASQKM21,ttl_uhi_cov_a
20601110601,0.2838580347855509,8.17244964,206011106,0.27686689412147164,11064.5698849881,39963.499139531166,0,206011106,0.1801,11343.96032890137
20601110605,0.12444072452271386,8.44571057,206011106,0.22693578497259706,4099.979164362916,18066.693028858346,0,206011106,0.0678,2248.2323702405965
20601110606,0.1468857782155242,8.87283452,206011106,0.16081192089778482,1891.0566106527422,11759.43052041978,0,206011106,0.0496,1727.2931033632462
20601110608,0.20890509170727806,6.45751485,206011106,0.2204061670865691,10294.129099305035,46705.267984909886,0,206011106,0.2623,9756.968291600597
20601110609,0.18933601265759636,7.60107557,206011106,0.268461972400634,6782.8646028776175,25265.643927980018,0,206011106,0.1384,4783.696278550347
20601110610,0.18129091786890758,8.40869395,206011106,0.13712322169593963,976.374211194372,7120.414756294219,0,206011106,0.0455,1290.866526775893
20601110611,0.19499228967739363,9.57093217,206011106,0.21794933665064922,4030.4837492365505,18492.755294304974,0,206011106,0.0752,3605.9446972802702
20601110612,0.17807095273938708,9.08251909,206011106,0.2256872659435256,5277.0592184935995,23382.17531428687,0,206011106,0.0881,4163.68623533444
20601110613,0.25247721892333336,8.63761752,206011106,0.30615627587114036,6661.129603433226,21757.28583214431,0,206011106,0.087,5493.219018219838
20601110614,0.17057659153076923,9.46089051,206011106,0.19012958560722446,4790.084969952,25193.790617350343,0,206011106,0.1079,4297.470931247496
20601110615,0.29736202035290593,7.95172863,206011106,0.4312281743474918,16511.54687282613,38289.582766270774,0,206011106,0.1669,11385.867689848086
20601110616,0.06702671994133524,8.3807154,206011106,0.1253595131697504,2742.147569789471,21874.267859323176,0,206011106,0.1074,1466.1604257286053
20601110617,0.16464234525461258,9.6200321,206011106,0.2113694801980365,6539.682209084235,30939.576531848732,0,206011106,0.1626,5093.964441388148
20601110618,0.243127356008875,8.26010002,206011106,0.27812142155722364,5437.049702553248,19549.19427676869,0,206011106,0.08,4752.943916614603
20601110619,0.19190623174416668,9.13107652,206011106,0.3346307875216391,5014.91309752749,14986.406763911995,0,206011106,0.06,2875.9848494476423
20601110701,0.2017004563624236,9.38071164,206011107,0.23197857268404362,5679.607330721734,24483.327339277137,0,206011107,0.0982,4938.298297602801
20601110702,0.13704794622249208,9.60012277,206011107,0.05533692461967284,1461.1632334653114,26404.850712391286,0,206011107,0.0947,3618.730560444733
20601110703,0.25760567422888053,9.44184023,206011107,0.33392342095679295,7330.846324421058,21953.675197193224,0,206011107,0.1063,5655.391300974812
20601110704,0.21663216282483092,8.69522295,206011107,0.2229156667341558,6423.087766450649,28813.980912838568,0,206011107,0.1035,6242.035004741615
20601110705,0.16900744096781278,9.61852071,206011107,0.10907917710427728,2843.7254484733044,26070.286960037898,0,206011107,0.1047,4406.072484412544
20601110706,0.21914144002666236,8.39730576,206011107,0.2637541032672223,9915.674459444956,37594.38938244269,0,206011107,0.1549,8238.488626191558
20601110707,0.18085162120774298,8.55589914,206011107,0.2622208380091561,8452.640742342615,32234.817059228037,0,206011107,0.1214,5829.7189244964
20601110708,0.16638653030119402,8.91659886,206011107,0.14394652686143755,2197.7416904651764,15267.76462332235,0,206011107,0.067,2540.350381129922
20601110710,0.17492811291409693,9.50227734,206011107,0.14323872121689174,1576.6259682577002,11006.981595921796,0,206011107,0.0454,1925.4305194547949
20601110712,0.19396526777635623,9.23801274,206011107,0.07839346779478829,1544.7087668581344,19704.559707726425,0,206011107,0.0977,3822.0002001243556
20601110713,0.17879846275559247,8.59475138,206011107,0.19187056003680322,4450.914706660011,23197.486398154404,0,206011107,0.1104,4147.674907783773
20601110714,0.21350899963951764,8.67265207,206011107,0.16540497472272103,3864.7176318860675,23365.183776151483,0,206011107,0.10780000000000001,4988.6770144395905
20601110715,0.23951330413300229,8.93288371,206011107,0.21745306023592156,8264.093634914563,38004.034645217645,0,206011107,0.1309,9102.47190826117
20601110716,0.21950734128787314,9.59395376,206011107,0.2677970394198918,8120.425872222233,30323.060664945693,0,206011107,0.1072,6656.134426273115
20601110717,0.19093247137022898,8.47601584,206011107,0.15474221210081981,3060.973569570384,19781.115495337857,0,206011107,0.0917,3776.8572679847885
20601110718,0.18688827280737705,9.7328411,206011107,0.08630626427819879,1238.4796557698728,14349.823458674671,0,206011107,0.0732,2681.813721282491
20601110719,0.1725302145065718,8.59476664,206011107,0.13570293356590546,2948.4070547298484,21726.9220145335,0,206011107,0.1476,3748.5505157350217
20601110720,0.20020524943922158,9.56148077,206011107,0.20263107687832274,3662.3959833020344,18074.206778762047,0,206011107,0.071,3618.5510765581253
20601110721,0.15389086207650696,9.02260135,206011107,0.16428760680887936,2314.9637204371393,14090.92119243179,0,206011107,0.0647,2168.4640097554493
20601110722,0.19946949630969793,8.52323573,206011107,0.22613968531382414,5808.821933915893,25686.87546307819,0,206011107,0.1258,5123.7481103901455
20601110723,0.2066186385398085,9.05139212,206011107,0.222640131541826,4227.2472722746015,18986.90610268731,0,206011107,0.0731,3923.0486890204334
20601110724,0.14975209842429102,9.70602578,206011107,0.14665906550378222,2968.219182116087,20238.906963712645,0,206011107,0.0811,3030.818787629965
20601110725,0.2488892871930066,8.47936906,206011107,0.25724117895687704,13511.18366717412,52523.409051235474,0,206011107,0.1959,13072.513839708708
20601110726,0.19338172916409263,8.95518762,206011107,0.20125120057702728,4977.719309497028,24733.861438962427,0,206011107,0.1036,4783.076893971626
20601110727,0.20399274036418874,9.87064542,206011107,0.19122001770886615,12996.096378565104,67964.0998587907,0,206011107,0.1547,13864.182976580087
20601110728,0.2451188230907317,8.60093072,206011107,0.2074070569521277,5087.383940974461,24528.49973252693,0,206011107,0.1152,6012.396986618329
20601110729,0.23824053354287533,8.22281905,206011107,0.1947988670341431,3681.1274479076565,18897.068057703087,0,206011107,0.0786,4502.04757646321
20601110730,0.13391989188670697,9.76687276,206011107,0.10699482118541553,1161.4652838662878,10855.341137058764,0,206011107,0.0331,1453.7461114682324
20601110731,0.1972223645452769,8.86804263,206011107,0.15047804505071025,7344.326550865826,48806.63188035723,0,206011107,0.1535,9625.759344934946
20601110901,0.157189896717628,8.5346949,206011109,0.22510843116773546,8575.058896732504,38093.01522937164,0,206011109,0.1543,5987.837129567959
20601110902,0.1684962861850895,9.25384902,206011109,0.12281356158770558,2621.0576821457107,21341.76102591015,0,206011109,0.1006,3596.007473515546
20601110903,0.15556161491227105,9.39133969,206011109,0.12143468542274141,2862.3606606111425,23571.195088508874,0,206011109,0.1092,3666.773173380632
20601110904,0.17234507677019748,8.80987963,206011109,0.14337147633021874,3303.344997157088,23040.461615591485,0,206011109,0.1114,3970.9101259599024
20601110905,0.20835561846192896,8.5825102,206011109,0.20076424069332996,3775.1929730407683,18804.110532848455,0,206011109,0.0788,3917.9420796981126
20601110906,0.19030769159225475,9.2935608,206011109,0.12103029336938946,3142.1840451338685,25961.963386668765,0,206011109,0.1162,4940.761321319569
